"module name","licenses","repository","licenseUrl","parents"
"sprintf-js@1.0.3","BSD-3-Clause","https://github.com/alexei/sprintf.js","https://github.com/alexei/sprintf.js/raw/master/LICENSE","mobile-app"
"ssri@10.0.6","ISC","https://github.com/npm/ssri","https://github.com/npm/ssri/raw/master/LICENSE.md","mobile-app"
"stack-utils@2.0.6","MIT","https://github.com/tapjs/stack-utils","https://github.com/tapjs/stack-utils/raw/master/LICENSE.md","mobile-app"
"stackframe@1.3.4","MIT","https://github.com/stacktracejs/stackframe","https://github.com/stacktracejs/stackframe/raw/master/LICENSE","mobile-app"
"stacktrace-parser@0.1.10","MIT","https://github.com/errwischt/stacktrace-parser","https://github.com/errwischt/stacktrace-parser/raw/master/LICENSE","mobile-app"
"statuses@1.5.0","MIT","https://github.com/jshttp/statuses","https://github.com/jshttp/statuses/raw/master/LICENSE","mobile-app"
"statuses@2.0.1","MIT","https://github.com/jshttp/statuses","https://github.com/jshttp/statuses/raw/master/LICENSE","http-errors:mobile-app"
"stream-buffers@2.2.0","Unlicense","https://github.com/samcday/node-stream-buffer","https://github.com/samcday/node-stream-buffer/raw/master/UNLICENSE","mobile-app"
"stream-slice@0.1.2","MIT","https://github.com/yorkie/stream-slice","https://github.com/yorkie/stream-slice","mobile-app"
"strict-uri-encode@2.0.0","MIT","https://github.com/kevva/strict-uri-encode","https://github.com/kevva/strict-uri-encode/raw/master/license","mobile-app"
"string-width@4.2.3","MIT","https://github.com/sindresorhus/string-width","https://github.com/sindresorhus/string-width/raw/master/license","mobile-app"
"string-width@5.1.2","MIT","https://github.com/sindresorhus/string-width","https://github.com/sindresorhus/string-width/raw/master/license","@isaacs/cliui:mobile-app"
"string.prototype.trim@1.2.9","MIT","https://github.com/es-shims/String.prototype.trim","https://github.com/es-shims/String.prototype.trim/raw/master/LICENSE","mobile-app"
"string.prototype.trimend@1.0.8","MIT","https://github.com/es-shims/String.prototype.trimEnd","https://github.com/es-shims/String.prototype.trimEnd/raw/master/LICENSE","mobile-app"
"string.prototype.trimstart@1.0.8","MIT","https://github.com/es-shims/String.prototype.trimStart","https://github.com/es-shims/String.prototype.trimStart/raw/master/LICENSE","mobile-app"
"string_decoder@1.1.1","MIT","https://github.com/nodejs/string_decoder","https://github.com/nodejs/string_decoder/raw/master/LICENSE","mobile-app"
"strip-ansi@5.2.0","MIT","https://github.com/chalk/strip-ansi","https://github.com/chalk/strip-ansi/raw/master/license","mobile-app"
"strip-ansi@6.0.1","MIT","https://github.com/chalk/strip-ansi","https://github.com/chalk/strip-ansi/raw/master/license","string-width:mobile-app"
"strip-ansi@7.1.0","MIT","https://github.com/chalk/strip-ansi","https://github.com/chalk/strip-ansi/raw/master/license","@isaacs/cliui:mobile-app"
"strip-eof@1.0.0","MIT","https://github.com/sindresorhus/strip-eof","https://github.com/sindresorhus/strip-eof/raw/master/license","mobile-app"
"strip-final-newline@2.0.0","MIT","https://github.com/sindresorhus/strip-final-newline","https://github.com/sindresorhus/strip-final-newline/raw/master/license","mobile-app"
"strip-json-comments@2.0.1","MIT","https://github.com/sindresorhus/strip-json-comments","https://github.com/sindresorhus/strip-json-comments/raw/master/license","mobile-app"
"strnum@1.0.5","MIT","https://github.com/NaturalIntelligence/strnum","https://github.com/NaturalIntelligence/strnum/raw/master/LICENSE","mobile-app"
"structured-headers@0.4.1","MIT","https://github.com/evert/structured-header","https://github.com/evert/structured-header","mobile-app"
"sucrase@3.34.0","MIT","https://github.com/alangpierce/sucrase","https://github.com/alangpierce/sucrase/raw/master/LICENSE","mobile-app"
"sudo-prompt@8.2.5","MIT","https://github.com/jorangreef/sudo-prompt","https://github.com/jorangreef/sudo-prompt/raw/master/LICENSE","mobile-app"
"sudo-prompt@9.1.1","MIT","https://github.com/jorangreef/sudo-prompt","https://github.com/jorangreef/sudo-prompt/raw/master/LICENSE","@expo/package-manager:mobile-app"
"sudo-prompt@9.2.1","MIT","https://github.com/jorangreef/sudo-prompt","https://github.com/jorangreef/sudo-prompt/raw/master/LICENSE","@react-native-community/cli-tools:mobile-app"
"supports-color@5.5.0","MIT","https://github.com/chalk/supports-color","https://github.com/chalk/supports-color/raw/master/license","mobile-app"
"supports-color@7.2.0","MIT","https://github.com/chalk/supports-color","https://github.com/chalk/supports-color/raw/master/license","@expo/config-plugins:mobile-app"
"supports-color@8.1.1","MIT","https://github.com/chalk/supports-color","https://github.com/chalk/supports-color/raw/master/license","jest-worker:mobile-app"
"supports-hyperlinks@2.3.0","MIT","https://github.com/jamestalmage/supports-hyperlinks","https://github.com/jamestalmage/supports-hyperlinks/raw/master/license","mobile-app"
"supports-preserve-symlinks-flag@1.0.0","MIT","https://github.com/inspect-js/node-supports-preserve-symlinks-flag","https://github.com/inspect-js/node-supports-preserve-symlinks-flag/raw/master/LICENSE","mobile-app"
"tailwindcss@3.3.2","MIT","https://github.com/tailwindlabs/tailwindcss","https://github.com/tailwindlabs/tailwindcss/raw/master/LICENSE","mobile-app"
"tar@6.2.1","ISC","https://github.com/isaacs/node-tar","https://github.com/isaacs/node-tar/raw/master/LICENSE","mobile-app"
"temp-dir@1.0.0","MIT","https://github.com/sindresorhus/temp-dir","https://github.com/sindresorhus/temp-dir/raw/master/license","@expo/image-utils:mobile-app"
"temp-dir@2.0.0","MIT","https://github.com/sindresorhus/temp-dir","https://github.com/sindresorhus/temp-dir/raw/master/license","mobile-app"
"temp@0.8.4","MIT","https://github.com/bruce/node-temp","https://github.com/bruce/node-temp/raw/master/LICENSE","mobile-app"
"tempy@0.3.0","MIT","https://github.com/sindresorhus/tempy","https://github.com/sindresorhus/tempy/raw/master/license","@expo/image-utils:mobile-app"
"tempy@0.7.1","MIT","https://github.com/sindresorhus/tempy","https://github.com/sindresorhus/tempy/raw/master/license","mobile-app"
"terminal-link@2.1.1","MIT","https://github.com/sindresorhus/terminal-link","https://github.com/sindresorhus/terminal-link/raw/master/license","mobile-app"
"terser@5.31.0","BSD-2-Clause","https://github.com/terser/terser","https://github.com/terser/terser/raw/master/LICENSE","mobile-app"
"text-table@0.2.0","MIT","https://github.com/substack/text-table","https://github.com/substack/text-table/raw/master/LICENSE","mobile-app"
"thenify-all@1.6.0","MIT","https://github.com/thenables/thenify-all","https://github.com/thenables/thenify-all/raw/master/LICENSE","mobile-app"
"thenify@3.3.1","MIT","https://github.com/thenables/thenify","https://github.com/thenables/thenify/raw/master/LICENSE","mobile-app"
"throat@5.0.0","MIT","https://github.com/ForbesLindesay/throat","https://github.com/ForbesLindesay/throat/raw/master/LICENSE","mobile-app"
"through2@2.0.5","MIT","https://github.com/rvagg/through2","https://github.com/rvagg/through2/raw/master/LICENSE.md","mobile-app"
"through@2.3.8","MIT","https://github.com/dominictarr/through","https://github.com/dominictarr/through/raw/master/LICENSE.APACHE2","mobile-app"
"tmp@0.0.33","MIT","https://github.com/raszi/node-tmp","https://github.com/raszi/node-tmp/raw/master/LICENSE","mobile-app"
"tmpl@1.0.5","BSD-3-Clause","https://github.com/daaku/nodejs-tmpl","https://github.com/daaku/nodejs-tmpl/raw/master/license","mobile-app"
"to-fast-properties@2.0.0","MIT","https://github.com/sindresorhus/to-fast-properties","https://github.com/sindresorhus/to-fast-properties/raw/master/license","mobile-app"
"to-regex-range@5.0.1","MIT","https://github.com/micromatch/to-regex-range","https://github.com/micromatch/to-regex-range/raw/master/LICENSE","mobile-app"
"toidentifier@1.0.1","MIT","https://github.com/component/toidentifier","https://github.com/component/toidentifier/raw/master/LICENSE","mobile-app"
"tr46@0.0.3","MIT","https://github.com/Sebmaster/tr46.js","https://github.com/Sebmaster/tr46.js","mobile-app"
"traverse@0.6.9","MIT","https://github.com/ljharb/js-traverse","https://github.com/ljharb/js-traverse/raw/master/LICENSE","mobile-app"
"ts-interface-checker@0.1.13","Apache-2.0","https://github.com/gristlabs/ts-interface-checker","https://github.com/gristlabs/ts-interface-checker/raw/master/LICENSE","mobile-app"
"ts-object-utils@0.0.5","ISC","https://github.com/naqvitalha/ts-object-utils","https://github.com/naqvitalha/ts-object-utils","mobile-app"
"tslib@2.6.2","0BSD","https://github.com/Microsoft/tslib","https://github.com/Microsoft/tslib/raw/master/LICENSE.txt","mobile-app"
"turbo-stream@2.0.1","ISC","https://github.com/jacob-ebey/turbo-stream","https://github.com/jacob-ebey/turbo-stream/raw/master/LICENSE","mobile-app"
"type-detect@4.0.8","MIT","https://github.com/chaijs/type-detect","https://github.com/chaijs/type-detect/raw/master/LICENSE","mobile-app"
"type-fest@0.16.0","(MIT OR CC0-1.0)","https://github.com/sindresorhus/type-fest","https://github.com/sindresorhus/type-fest/raw/master/license","tempy:mobile-app"
"type-fest@0.21.3","(MIT OR CC0-1.0)","https://github.com/sindresorhus/type-fest","https://github.com/sindresorhus/type-fest/raw/master/license","mobile-app"
"type-fest@0.3.1","(MIT OR CC0-1.0)","https://github.com/sindresorhus/type-fest","https://github.com/sindresorhus/type-fest/raw/master/license","@expo/image-utils:mobile-app"
"type-fest@0.7.1","(MIT OR CC0-1.0)","https://github.com/sindresorhus/type-fest","https://github.com/sindresorhus/type-fest/raw/master/license","stacktrace-parser:mobile-app"
"typed-array-buffer@1.0.2","MIT","https://github.com/ljharb/typed-array-buffer","https://github.com/ljharb/typed-array-buffer/raw/master/LICENSE","mobile-app"
"typed-array-byte-length@1.0.1","MIT","https://github.com/inspect-js/typed-array-byte-length","https://github.com/inspect-js/typed-array-byte-length/raw/master/LICENSE","mobile-app"
"typed-array-byte-offset@1.0.2","MIT","https://github.com/inspect-js/typed-array-byte-offset","https://github.com/inspect-js/typed-array-byte-offset/raw/master/LICENSE","mobile-app"
